CID,source_station,destination,ticket_number,train_no,seat_no,coach_no,journey_date,status,fare
10341,New Delhi,Ambala Cantt,1385098048,12045,7,A3,2017-04-08,CNF,560
10342,New Delhi,Chandigarh,2873921791,12045,1,A4,2017-04-08,CNF,1240
10343,New Delhi,Chandigarh,1404361842,12045,2,A4,2017-04-08,CNF,1240
10344,New Delhi,Ambala Cantt,70352195,12045,3,A4,2017-04-08,CNF,1060
10345,New Delhi,Ambala Cantt,5802323027,12045,4,A4,2017-04-08,CNF,1060
10346,New Delhi,Karnal,2613013683,12045,5,A4,2017-04-08,CNF,860
10347,New Delhi,karnal,3222207874,12045,6,A4,2017-04-08,CNF,860
10348,New Delhi,Chandigarh,456075648,12045,null,A4,2017-04-08,WL,1240
10349,Ahmedabad,Pune,5839986671,12297,1,A1,2017-04-02,CNF,950
10350,Ahmedabad,Pune,2519173641,12297,3,A1,2017-04-02,CNF,950
10351,Ahmedabad,Pune,809006627,12297,2,A1,2017-04-02,CNF,950
10352,Ahmedabad,Pune,3431696214,12297,4,A1,2017-04-02,CNF,950
10353,Ahmedabad,Pune,2402221354,12297,5,A1,2017-04-02,CNF,950
10354,Ahmedabad,Pune,2587371099,12297,6,A1,2017-04-02,CNF,950
10355,Ahmedabad,Pune,3815523788,12297,7,A1,2017-04-02,CNF,950
10356,Ahmedabad,Pune,3069781489,12297,8,A1,2017-04-02,CNF,950
10357,Ahmedabad,Pune,9269919483,12297,9,A1,2017-04-02,CNF,950
10358,Ahmedabad,Pune,6634891203,12297,10,A1,2017-04-02,CNF,950
10359,Ahmedabad,Pune,5280044217,12297,1,A2,2017-04-02,CNF,2660
10360,Ahmedabad,Pune,8128467758,12297,2,A2,2017-04-02,CNF,2660
10361,Ahmedabad,Pune,2380447670,12297,3,A2,2017-04-02,CNF,2660
10362,Ahmedabad,Pune,3555273068,12297,4,A2,2017-04-02,CNF,2660
10363,Ahmedabad,Pune,9481017001,12297,5,A2,2017-04-02,CNF,2660
10364,Ahmedabad,Pune,8497741113,12297,6,A2,2017-04-02,CNF,2660
10365,Ahmedabad,Pune,3092402889,12297,1,A3,2017-04-02,CNF,1570
10366,Ahmedabad,Pune,3212942100,12297,2,A3,2017-04-02,CNF,1570
10367,Ahmedabad,Pune,4512161740,12297,3,A3,2017-04-02,CNF,1570
10368,Ahmedabad,Pune,5585377614,12297,4,A3,2017-04-02,CNF,1570
10369,Ahmedabad,Pune,1013239781,12297,5,A3,2017-04-02,CNF,1570
10370,Ahmedabad,Pune,861971190,12297,6,A3,2017-04-02,CNF,1570
10371,Ahmedabad,Pune,7097020072,12297,null,A3,2017-04-02,WL,1570
10372,Ahmedabad,Pune,9582457735,12297,1,A4,2017-04-02,CNF,1570
10373,Ahmedabad,Pune,1304050700,12297,2,A4,2017-04-02,CNF,1570
10374,Ahmedabad,Pune,4997949609,12297,3,A4,2017-04-02,CNF,1570
10375,Ahmedabad,Pune,5823409496,12297,5,A4,2017-04-02,CNF,1570
10376,Ahmedabad,Pune,9058496437,12297,6,A4,2017-04-02,CNF,1570
10377,Ahmedabad,Pune,4801786035,12297,8,A4,2017-04-02,CNF,1570
10378,Ahmedabad,Pune,3702271970,12297,2,A5,2017-04-02,CNF,1125
10379,Ahmedabad,Pune,103433070,12297,3,A5,2017-04-02,CNF,1125
10380,Ahmedabad,Pune,8487979703,12297,4,A5,2017-04-02,CNF,1125
10381,Ahmedabad,Pune,6625574621,12297,5,A5,2017-04-02,CNF,1125
10382,Ahmedabad,Pune,5082087283,12297,6,A5,2017-04-02,CNF,1125
10383,Ahmedabad,Pune,3348572160,12297,7,A5,2017-04-02,CNF,1125
10384,Ahmedabad,Pune,2741406201,12297,8,A5,2017-04-02,CNF,1125
10385,Ahmedabad,Pune,7551895441,12297,1,A6,2017-04-02,CNF,1125
10386,Ahmedabad,Pune,4737474290,12297,2,A6,2017-04-02,CNF,1125
10387,Ahmedabad,Pune,9685608820,12297,3,A6,2017-04-02,CNF,1125
10388,Ahmedabad,Pune,438734448,12297,4,A6,2017-04-02,CNF,1125
10389,Ahmedabad,Pune,7284594732,12297,5,A6,2017-04-02,CNF,1125
10390,Ahmedabad,Pune,5208890715,12297,7,A6,2017-04-02,CNF,1125
10391,Ahmedabad,Pune,3380096988,12297,11,A6,2017-04-02,CNF,1125
10392,Ahmedabad,Pune,2895563266,12297,null,A6,2017-04-02,WL,1125
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
